מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,מספר_נושא,נושא,עמדות_ציון,עמדות_ביטחון,ביצוע_ציון,ביצוע_ביטחון,תדמית_ציון,תדמית_ביטחון,עוגן
אפרת רייטן,נשים,ממלכתי ואחראי,בינוני,4,9,5,12,"סביבה, אקלים ומרחב חיים",,,,,,,
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,90,8,85,9,95,השתתפות אקטיבית בהפגנות ובלימת חקיקה
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,2,איחוי החברה וסולידריות אזרחית,6,60,,,4,70,"שיח סולידריות מעמדית, פוליטיקה לעומתית"
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,3,שוויון זכויות והזדמנויות,10,95,9,95,9,95,חקיקת דיור ציבורי וזכויות נשים
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,4,"שוויון בנטל, גיוס ושירות אזרחי",8,70,,,7,60,התבטאויות כלליות במסגרת סיעתית
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,5,שותפות יהודית־ערבית ושוויון אזרחי,9,85,7,75,8,80,שיתופי פעולה במאבקי עובדים
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,6,"ביטחון, פלסטינים והחזון המדיני",8,85,,,8,85,"מחאות עסקת חטופים, שמאל מדיני"
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,7,"חינוך, אזרחות וליבה משותפת",9,85,8,80,8,80,תמיכה אקטיבית בשביתות המורים
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,8,"חברה, כלכלה, רווחה ופריפריה",10,100,10,100,10,100,חוקים לזכויות עובדים ורווחה
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,9,יחסי דת ומדינה וחופש אזרחי,9,80,6,60,8,80,"תמיכה פומבית בזכויות להט""ב"
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",7,60,,,,20,קידום שיח תרבות מזרחית פריפריאלית
נעמה לזימי,נשים,לוחם וברור,גבוה,7,9,4,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,80,6,70,8,80,"ח""כ בממשלת השינוי והמחאה"
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,2,איחוי החברה וסולידריות אזרחית,8,85,7,80,8,80,"כתיבת הספר ""שריטות"""
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,3,שוויון זכויות והזדמנויות,8,70,5,50,7,60,ראיונות והתבטאויות בנושאי נשים
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,5,שותפות יהודית־ערבית ושוויון אזרחי,9,80,6,60,8,70,השתתפות בכנסים לחיים משותפים
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,6,"ביטחון, פלסטינים והחזון המדיני",9,95,8,90,9,90,חברות בהנהלת יוזמת ז'נבה
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,8,"חברה, כלכלה, רווחה ופריפריה",8,70,4,40,7,60,פובליציסטיקה על נתניה והשמאל
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",8,80,8,90,7,70,פרס שרת התרבות לספרות
אמילי מואטי,נשים,שילוב,נמוך,4,6,6,12,"סביבה, אקלים ומרחב חיים",,,,,,,
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,80,7,70,8,80,השתתפות ונאומים במחאות קפלן
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,2,איחוי החברה וסולידריות אזרחית,,,,,,,
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,3,שוויון זכויות והזדמנויות,9,85,8,80,8,85,מאבק נגד הדרת נשים
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,5,שותפות יהודית־ערבית ושוויון אזרחי,8,70,6,60,7,60,התייצבות נגד גזענות בבת-ים
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,6,"ביטחון, פלסטינים והחזון המדיני",8,80,,,8,80,התבטאויות כנציגת מפלגת מרצ
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,7,"חינוך, אזרחות וליבה משותפת",8,70,7,70,8,70,מאבק עירוני נגד הדתה
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,9,יחסי דת ומדינה וחופש אזרחי,10,95,9,90,10,95,הפעלת תחבורה ציבורית בשבת
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
קטי פיאסצקי,נשים,לוחם וברור,נמוך,6,5,5,12,"סביבה, אקלים ומרחב חיים",9,80,8,80,8,80,קידום זכויות בעלי חיים
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,90,8,85,9,90,"מחאות דמוקרטיה והגנה על בג""ץ"
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,3,שוויון זכויות והזדמנויות,10,95,10,95,10,95,"מנכ""לית מרכזי הסיוע לנפגעות"
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,5,שותפות יהודית־ערבית ושוויון אזרחי,9,85,8,85,8,85,מאבק למען זכויות מבקשי מקלט
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,6,"ביטחון, פלסטינים והחזון המדיני",9,90,8,80,9,90,מחאות נגד השליטה בשטחים
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,7,"חינוך, אזרחות וליבה משותפת",8,80,8,80,7,70,קידום חינוך לשוויון מגדרי
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,8,"חברה, כלכלה, רווחה ופריפריה",8,85,9,85,8,80,חקיקת רווחה לנפגעות אלימות
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,9,יחסי דת ומדינה וחופש אזרחי,9,95,9,90,9,95,פעילות בנשות הכותל וחופש דת
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מיכל רוזין,נשים,לוחם וברור,בינוני,5,9,5,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,95,9,95,10,95,נאומים והובלת מחאות קפלן
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,2,איחוי החברה וסולידריות אזרחית,8,70,9,85,8,75,"הקמת חמ""ל סיוע ב-7.10"
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,3,שוויון זכויות והזדמנויות,10,100,10,100,10,100,"ייסוד ""בונות אלטרנטיבה"" ומיצגי שפחות"
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,4,"שוויון בנטל, גיוס ושירות אזרחי",9,85,8,80,8,80,הובלת הפגנות חוק הגיוס
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,5,שותפות יהודית־ערבית ושוויון אזרחי,,10,,10,,10,
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,6,"ביטחון, פלסטינים והחזון המדיני",,0,,0,,0,
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,7,"חינוך, אזרחות וליבה משותפת",8,75,7,70,7,65,מאבק בהפרדה מגדרית באקדמיה
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,8,"חברה, כלכלה, רווחה ופריפריה",8,75,8,80,7,70,קמפיינים לשוויון בשכר ותעסוקה
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,9,יחסי דת ומדינה וחופש אזרחי,10,90,9,90,9,90,קמפיינים נגד בתי הדין הרבניים
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,10,תקשורת אמת ואוריינות דיגיטלית,,10,,10,,10,
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,0,,0,,0,
מורן זר כצשטיין,נשים,לוחם וברור,גבוה,9,2,5,12,"סביבה, אקלים ומרחב חיים",,0,,0,,0,
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",8,60,,,7,60,נאומים במחאות נגד הרפורמה
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,3,שוויון זכויות והזדמנויות,9,90,8,85,9,90,מאבק בגזענות ותיק רווחה
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,5,שותפות יהודית־ערבית ושוויון אזרחי,7,50,6,50,,,עשייה מוניציפלית ביפו
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,7,"חינוך, אזרחות וליבה משותפת",8,85,8,90,8,80,ניהול תיק הגיל הרך
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,8,"חברה, כלכלה, רווחה ופריפריה",9,85,9,90,8,85,ניהול תיק שירותים חברתיים
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,9,יחסי דת ומדינה וחופש אזרחי,8,60,,,7,60,"קמפיין מוניציפלי, חופש עירוני"
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מהרטה ברוך רון,נשים,ממלכתי ואחראי,בינוני,4,7,7,12,"סביבה, אקלים ומרחב חיים",,,,,,,
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,90,9,90,9,90,הובלת מחאת בונות אלטרנטיבה
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,2,איחוי החברה וסולידריות אזרחית,,,,,,,
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,3,שוויון זכויות והזדמנויות,10,95,9,90,10,95,אקטיביזם פמיניסטי ארוך שנים
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,4,"שוויון בנטל, גיוס ושירות אזרחי",9,80,7,70,8,80,השתתפות אקטיבית במחאות הגיוס
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,8,"חברה, כלכלה, רווחה ופריפריה",8,70,7,60,7,60,קידום תעסוקת נשים בסלונה
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,9,יחסי דת ומדינה וחופש אזרחי,10,95,9,90,9,90,מאבק ציבורי בהדרת נשים
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,10,תקשורת אמת ואוריינות דיגיטלית,8,70,8,80,8,70,קריירה כעיתונאית ועורכת מקצועית
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
הדס רגולסקי,נשים,לוחם וברור,נמוך,8,3,5,12,"סביבה, אקלים ומרחב חיים",,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,95,9,95,9,95,"עו""ד זכויות אדם ובג""צים"
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,2,איחוי החברה וסולידריות אזרחית,,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,3,שוויון זכויות והזדמנויות,9,90,8,85,8,85,ייצוג משפטי לארגוני נשים
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,5,שותפות יהודית־ערבית ושוויון אזרחי,10,95,10,95,10,95,ייצוג פלסטינים ופעילי מחאה
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,6,"ביטחון, פלסטינים והחזון המדיני",10,95,9,95,10,95,"מנכ""לית שלום עכשיו בעבר"
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,9,יחסי דת ומדינה וחופש אזרחי,8,70,7,70,6,60,"חברת מועצת ת""א (מרצ)"
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
גבי לסקי,נשים,לוחם וברור,בינוני,7,7,5,12,"סביבה, אקלים ומרחב חיים",9,85,8,85,6,50,"יו""ר ועדת סביבה בתל אביב"
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",8,70,,0,7,60,השתתפות פעילה במחאות קפלן
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,2,איחוי החברה וסולידריות אזרחית,,0,,0,,0,
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,3,שוויון זכויות והזדמנויות,8,60,7,60,,20,חקיקה והצבעות בכנסת ה-20
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,4,"שוויון בנטל, גיוס ושירות אזרחי",,0,,0,,0,
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,5,שותפות יהודית־ערבית ושוויון אזרחי,,0,,0,,0,
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,6,"ביטחון, פלסטינים והחזון המדיני",,0,,0,,0,
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,7,"חינוך, אזרחות וליבה משותפת",8,70,7,70,6,50,שדולת פיתוח בר קיימא בכנסת
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,8,"חברה, כלכלה, רווחה ופריפריה",8,80,8,80,7,60,"פורום אנרגיה, מאבק מתווה הגז"
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,9,יחסי דת ומדינה וחופש אזרחי,7,50,,0,,0,"התבטאויות כלליות, ללא ביצוע"
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,10,תקשורת אמת ואוריינות דיגיטלית,,0,,0,,0,
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,0,,0,,0,
יעל כהן-פארן,נשים,ממלכתי ואחראי,בינוני,5,7,5,12,"סביבה, אקלים ומרחב חיים",10,95,10,95,10,95,"יו""ר הירוקה, חקיקה ופורום אנרגיה"
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,85,8,85,9,90,נאומים וארגון במחאת קפלן
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,3,שוויון זכויות והזדמנויות,9,80,8,80,8,80,שותפות במאבקי נשים ליברליים
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,9,יחסי דת ומדינה וחופש אזרחי,8,70,6,60,8,70,התבטאויות רשת נגד כפייה דתית
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,10,תקשורת אמת ואוריינות דיגיטלית,9,90,9,90,9,90,מאבק דיגיטלי בדיסאינפורמציה
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",8,85,9,90,8,85,פרסום ספרים וניהול קהילות כתיבה
מורן מישל,נשים,לוחם וברור,נמוך-בינוני,8,2,4,12,"סביבה, אקלים ומרחב חיים",,,,,,,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,85,7,70,8,80,נאומים במחאה נגד הרפורמה
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,2,איחוי החברה וסולידריות אזרחית,,10,,10,,10,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,3,שוויון זכויות והזדמנויות,8,85,8,90,8,85,חקיקה לנשים עצמאיות
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,4,"שוויון בנטל, גיוס ושירות אזרחי",,10,,10,,10,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,5,שותפות יהודית־ערבית ושוויון אזרחי,7,70,6,60,6,60,פיתוח כלכלי אזורי בגליל
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,6,"ביטחון, פלסטינים והחזון המדיני",,10,,10,,10,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,7,"חינוך, אזרחות וליבה משותפת",,10,,10,,10,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,8,"חברה, כלכלה, רווחה ופריפריה",9,95,10,95,9,90,ייסוד תנועת העצמאים ושדולת הגליל
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,9,יחסי דת ומדינה וחופש אזרחי,,10,,10,,10,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,10,תקשורת אמת ואוריינות דיגיטלית,,10,8,85,7,70,"ניהול משרד יח""צ ותקשורת"
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,10,,10,,10,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,7,6,12,"סביבה, אקלים ומרחב חיים",,10,,10,,10,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,90,9,90,9,90,"ייסוד והובלת ""החזית הוורודה"""
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,2,איחוי החברה וסולידריות אזרחית,,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,3,שוויון זכויות והזדמנויות,8,60,7,60,8,60,"מחאות מגדר של ""החזית הוורודה"""
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,10,תקשורת אמת ואוריינות דיגיטלית,8,60,7,60,8,60,מאבק שטח בדיסאינפורמציה והסתה
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,9,85,9,85,שילוב אמנות ומוזיקה במחאה
ענבל וורטמן שוהם,נשים,לוחם וברור,בינוני,9,1,4,12,"סביבה, אקלים ומרחב חיים",,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",9,90,9,90,9,90,ניהול שטח במחאת קפלן
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,2,איחוי החברה וסולידריות אזרחית,,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,3,שוויון זכויות והזדמנויות,10,95,9,90,10,95,ייסוד ופעילות בבונות אלטרנטיבה
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,9,יחסי דת ומדינה וחופש אזרחי,9,90,9,90,9,90,מאבק שטח נגד הדרת נשים
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
לי הופמן אגיב,נשים,לוחם וברור,נמוך,8,2,4,12,"סביבה, אקלים ומרחב חיים",,,,,,,
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,0,,0,,0,
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,2,איחוי החברה וסולידריות אזרחית,,0,,0,,0,
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,3,שוויון זכויות והזדמנויות,,0,,0,,0,
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,4,"שוויון בנטל, גיוס ושירות אזרחי",,0,,0,,0,
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,5,שותפות יהודית־ערבית ושוויון אזרחי,,0,,0,,0,
רותם סיון הופמן,נשים,ממלכתי ואחראי,בינוני,2,3,5,6,"ביטחון, פלסטינים והחזון המדיני",,0,,0,,0,
