id,ציר,קטגוריה,מספר_בקטגוריה,היגד,prefix,btn_1,btn_2,btn_3,btn_4,נושא_בחירה
cap_012,יכולות,"ארגון, ניהול וביצוע",6,מוכנות לקחת אחריות אישית גבוהה על מהלך ציבורי או ארגוני,,,,,,"ארגון, ניהול וביצוע"
cap_013,יכולות,"חקיקה, פוליטיקה ומוסדות",1,"ניסיון בעבודה פרלמנטרית, ועדות כנסת, חקיקה או הצעות חוק",,,,,,"חקיקה, פוליטיקה ומוסדות"
cap_014,יכולות,"חקיקה, פוליטיקה ומוסדות",2,"היכרות מעשית עם מנגנוני מפלגות, פריימריז, רשימות וקואליציות",,,,,,"חקיקה, פוליטיקה ומוסדות"
cap_015,יכולות,"חקיקה, פוליטיקה ומוסדות",3,יכולת לפעול בתוך מוסדות קיימים ולא רק מחוץ להם,,,,,,"חקיקה, פוליטיקה ומוסדות"
cap_016,יכולות,"חקיקה, פוליטיקה ומוסדות",4,"ניסיון בבניית תנועה פוליטית, מפלגה או אלטרנטיבה שלטונית",,,,,,"חקיקה, פוליטיקה ומוסדות"
cap_017,יכולות,"חקיקה, פוליטיקה ומוסדות",5,"יכולת לייצר שיתופי פעולה בין זרמים, מפלגות או קבוצות אינטרס",,,,,,"חקיקה, פוליטיקה ומוסדות"
cap_018,יכולות,"חקיקה, פוליטיקה ומוסדות",6,יכולת לתרגם עמדות אידיאולוגיות לפעולות מוסדיות או חקיקתיות,,,,,,"חקיקה, פוליטיקה ומוסדות"
cap_019,יכולות,"תקשורת, הסברה והשפעה ציבורית",1,"יכולת ליצור מסרים חדים, ברורים וזכירים",,,,,,"תקשורת, הסברה והשפעה ציבורית"
cap_020,יכולות,"תקשורת, הסברה והשפעה ציבורית",2,"יכולת לייצר תוכן דיגיטלי, ויראלי או תקשורתי שמגיע לקהלים רחבים",,,,,,"תקשורת, הסברה והשפעה ציבורית"
cap_021,יכולות,"תקשורת, הסברה והשפעה ציבורית",3,"ניסיון בהופעה ציבורית, ראיונות, פודקאסטים, קולנוע, כתיבה או הרצאות",,,,,,"תקשורת, הסברה והשפעה ציבורית"
cap_022,יכולות,"תקשורת, הסברה והשפעה ציבורית",4,יכולת להסביר נושאים מורכבים בשפה נגישה ולא טכנוקרטית,,,,,,"תקשורת, הסברה והשפעה ציבורית"
cap_023,יכולות,"תקשורת, הסברה והשפעה ציבורית",5,יכולת לנהל מאבק תודעתי מול יריבים פוליטיים או תקשורתיים,,,,,,"תקשורת, הסברה והשפעה ציבורית"
cap_024,יכולות,"תקשורת, הסברה והשפעה ציבורית",6,יכולת להפוך סיפור אישי או ערכי לכלי גיוס ציבורי,,,,,,"תקשורת, הסברה והשפעה ציבורית"
cap_025,יכולות,חיבור בין קהלים ועולמות,1,יכולת לחבר בין יהודים לערבים בתוך מסגרת פוליטית או אזרחית משותפת,,,,,,חיבור בין קהלים ועולמות
cap_026,יכולות,חיבור בין קהלים ועולמות,2,"יכולת לחבר בין שמאל ליברלי לבין פריפריה מזרחית, מסורתית או גיאוגרפית",,,,,,חיבור בין קהלים ועולמות
cap_027,יכולות,חיבור בין קהלים ועולמות,3,יכולת לחבר בין עולם המחאה לבין עבודה מפלגתית ומוסדית,,,,,,חיבור בין קהלים ועולמות
cap_028,יכולות,חיבור בין קהלים ועולמות,4,"יכולת לחבר בין היי־טק, חדשנות ודיגיטל לבין פוליטיקה ציבורית",,,,,,חיבור בין קהלים ועולמות
cap_029,יכולות,חיבור בין קהלים ועולמות,5,יכולת לחבר בין שפה מקצועית־ביטחונית לבין שפה אזרחית וערכית,,,,,,חיבור בין קהלים ועולמות
cap_030,יכולות,חיבור בין קהלים ועולמות,6,אמינות מול קהילות שטח ולא רק מול קהל תקשורתי או אליטיסטי,,,,,,חיבור בין קהלים ועולמות
cap_031,יכולות,"חדשנות, למידה ושיתוף ציבור",1,"שימוש בטכנולוגיה, מידע או כלים דיגיטליים לשיתוף ציבור וארגון פוליטי",,,,,,"חדשנות, למידה ושיתוף ציבור"
cap_032,יכולות,"חדשנות, למידה ושיתוף ציבור",2,"חשיבה מערכתית שמזהה קשרים בין משבר פוליטי, כלכלה, ביטחון וחברה",,,,,,"חדשנות, למידה ושיתוף ציבור"
cap_033,יכולות,"חדשנות, למידה ושיתוף ציבור",3,יזמות בפתרונות לא שגרתיים לבעיות פוליטיות או חברתיות,,,,,,"חדשנות, למידה ושיתוף ציבור"
cap_034,יכולות,"חדשנות, למידה ושיתוף ציבור",4,יכולת ללמוד תחומים חדשים ולהפוך אותם לשפה ציבורית ברורה,,,,,,"חדשנות, למידה ושיתוף ציבור"
cap_035,יכולות,"חדשנות, למידה ושיתוף ציבור",5,"שילוב בין ידע מקצועי, ניסיון אישי וערכים פוליטיים",,,,,,"חדשנות, למידה ושיתוף ציבור"
cap_036,יכולות,"חדשנות, למידה ושיתוף ציבור",6,פתיחות לניסויים ארגוניים ודמוקרטיים חדשים ולא רק לשיטות פוליטיות קיימות,,,,,,"חדשנות, למידה ושיתוף ציבור"
