statement_id,axis,topic_code,topic,statement_text,statement_role,statement_weight,is_core,source_status,review_status,old_category_ignored,notes
D-012,deot,D02,המאבק על ההגמוניה,ראיית חלק מהמחנה השני כשותף עתידי אפשרי לשיקום המדינה לאחר עידן נתניהו,supporting,0.75,no,existing,ok,יחס למחנה השני ויכולת גישור,
D-013,deot,D02,המאבק על ההגמוניה,ראיית השסע העדתי והפריפריאלי כמרכיב מרכזי במשבר הפוליטי בישראל,core,1.0,yes,existing,ok,שסעים פנימיים בחברה היהודית,
D-014,deot,D02,המאבק על ההגמוניה,"נכונות לדבר עם מצביעים מזרחים, מסורתיים ופריפריאליים בשפה שאינה מתנשאת ואינה רק ליברלית־אשכנזית",core,1.0,yes,existing,ok,שסעים פנימיים בחברה היהודית,
D-016,deot,D02,המאבק על ההגמוניה,"תמיכה בבניית ברית חדשה בין ליברלים, מסורתיים, דתיים מתונים ופריפריה חברתית",supporting,0.75,no,existing,ok,שסעים פנימיים בחברה היהודית,
D-017,deot,D02,המאבק על ההגמוניה,"ביקורת על מחנה המרכז־שמאל כאשר הוא נתפס כמנותק, אליטיסטי או חסר רגישות לפריפריה",core,1.0,yes,existing,ok,שסעים פנימיים בחברה היהודית,
D-018,deot,D02,המאבק על ההגמוניה,העדפה לתיקון יחסי מרכז־פריפריה כחלק מבניית מחנה דמוקרטי רחב,core,1.0,yes,existing,ok,שסעים פנימיים בחברה היהודית,
D-025,deot,D02,המאבק על ההגמוניה,אמונה שהפער בין ישראל ליברלית לבין ישראל שמרנית־דתית עדיין ניתן לגישור פוליטי וחברתי,supporting,0.75,no,existing,ok,"הפרדה, גישור או שתי מדינות לעם היהודי",
D-026,deot,D02,המאבק על ההגמוניה,"ראיית הפער בין המחנות כעמוק עד כדי צורך בהסדרים של אוטונומיה, ביזור או הפרדה חלקית",review,0.6,no,existing,review,"הפרדה, גישור או שתי מדינות לעם היהודי",דורש בדיקה/דיוק ניסוח
D-027,deot,D02,המאבק על ההגמוניה,תמיכה בביזור סמכויות לשלטון מקומי כדי לאפשר לקהילות שונות לחיות לפי אורחות חיים שונים,review,0.6,no,existing,review,"הפרדה, גישור או שתי מדינות לעם היהודי",דורש בדיקה/דיוק ניסוח
D-028,deot,D02,המאבק על ההגמוניה,התנגדות לרעיון של שתי מדינות לעם היהודי והעדפה למאבק על מסגרת מדינתית אחת משותפת,supporting,0.75,no,existing,ok,"הפרדה, גישור או שתי מדינות לעם היהודי",
D-029,deot,D02,המאבק על ההגמוניה,"פתיחות לרעיון של הסדרים פנימיים חדשים בין חילונים, דתיים, חרדים, מסורתיים וליברלים",supporting,0.75,no,existing,ok,"הפרדה, גישור או שתי מדינות לעם היהודי",
D-030,deot,D02,המאבק על ההגמוניה,ראיית המשבר הישראלי לא רק כמאבק ימין־שמאל אלא כמאבק בין מודלים שונים של חיים משותפים,core,1.0,yes,existing,ok,"הפרדה, גישור או שתי מדינות לעם היהודי",
D-015,deot,D03,"חרדים, גיוס ושוויון חובות",ראיית השסע הדתי־חילוני כאיום מרכזי על הלכידות של החברה היהודית בישראל,supporting,0.75,no,existing,ok,שסעים פנימיים בחברה היהודית,
D-019,deot,D03,"חרדים, גיוס ושוויון חובות",העדפה לזהות ישראלית שבה הרכיב הדמוקרטי קודם לרכיב הדתי־לאומי כאשר יש התנגשות ביניהם,supporting,0.75,no,existing,ok,"מדינה יהודית ודמוקרטית, דת ומדינה",
D-020,deot,D03,"חרדים, גיוס ושוויון חובות","העדפה לזהות ישראלית שבה היהדות היא מקור תרבותי וערכי, אך אינה צריכה לשלוט במוסדות המדינה",core,1.0,yes,existing,ok,"מדינה יהודית ודמוקרטית, דת ומדינה",
D-021,deot,D03,"חרדים, גיוס ושוויון חובות",תמיכה בהפרדה ברורה יותר בין סמכות דתית לבין סמכות מדינתית,core,1.0,yes,existing,ok,"מדינה יהודית ודמוקרטית, דת ומדינה",
D-022,deot,D03,"חרדים, גיוס ושוויון חובות",נכונות לשמר מרכיבים יהודיים־מסורתיים במרחב הציבורי כדי לאפשר שותפות עם ציבור מסורתי ודתי,supporting,0.75,no,existing,ok,"מדינה יהודית ודמוקרטית, דת ומדינה",
D-023,deot,D03,"חרדים, גיוס ושוויון חובות","התנגדות לכפייה דתית בנושאי נישואין, שבת, חינוך, מעמד אישי או שירות ציבורי",core,1.0,yes,existing,ok,"מדינה יהודית ודמוקרטית, דת ומדינה",
D-024,deot,D03,"חרדים, גיוס ושוויון חובות","תמיכה בשוויון חובות אזרחיות בין קבוצות, כולל שאלת גיוס חרדים או שירות אזרחי",core,1.0,yes,existing,ok,"מדינה יהודית ודמוקרטית, דת ומדינה",
D-076,deot,D03,"חרדים, גיוס ושוויון חובות","המועמד תומך בהתניית תקצוב ציבורי רחב בלימודי ליבה, תעסוקה ושילוב אזרחי.",core,1.0,yes,proposed_new,new_to_review,,נדרש לחיזוק D03-R02; לא היה היגד ישיר בקובץ הישן
D-077,deot,D03,"חרדים, גיוס ושוויון חובות",המועמד מבחין בין הציבור החרדי עצמו לבין העסקנות הפוליטית החרדית.,supporting,0.8,no,proposed_new,new_to_review,,נדרש לחיזוק D03-R03; לא היה היגד ישיר בקובץ הישן
D-078,deot,D03,"חרדים, גיוס ושוויון חובות","המועמד משלב דרישה לשוויון חובות עם אופק של שילוב, הסכמות וחיים משותפים עם החברה החרדית.",supporting,0.8,no,proposed_new,new_to_review,,נדרש לחיזוק D03-R05; לא היה היגד ישיר בקובץ הישן
D-031,deot,D04,שוויון ושותפות יהודית־ערבית,ראיית אזרחי ישראל הערבים כחלק מלא מהדיון על עתיד המדינה ולא כעניין נפרד או משני,core,1.0,yes,existing,ok,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",
D-032,deot,D04,שוויון ושותפות יהודית־ערבית,"תמיכה בשוויון אזרחי גם כאשר הוא מחייב שינוי בחוקים, סמלים או חלוקת משאבים",core,1.0,yes,existing,ok,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",
D-033,deot,D04,שוויון ושותפות יהודית־ערבית,תמיכה בשותפות פוליטית יהודית־ערבית כחלק מבניית מחנה דמוקרטי רחב,core,1.0,yes,existing,ok,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",
D-034,deot,D04,שוויון ושותפות יהודית־ערבית,"העדפה לשילוב אזרחים ערבים במוקדי קבלת החלטות, כולל בתחומים מדיניים וביטחוניים",core,1.0,yes,existing,ok,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",
D-035,deot,D04,שוויון ושותפות יהודית־ערבית,"התנגדות לגזענות, הדרה או דה־לגיטימציה של הציבור הערבי בישראל",review,0.6,no,existing,review,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",דורש בדיקה/דיוק ניסוח | מומלץ לרכך את המילה גזענות ולהשתמש גם בחוסר אמון/רתיעה/גבולות שותפות
D-036,deot,D04,שוויון ושותפות יהודית־ערבית,"הכרה בכך שחיים משותפים מחייבים גם התמודדות עם פחדים, טראומות וחוסר אמון בשני הצדדים",core,1.0,yes,existing,ok,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",
D-079,deot,D04,שוויון ושותפות יהודית־ערבית,"המועמד מתייחס לפערי תקציבים, תכנון, תשתיות וביטחון אישי בחברה הערבית כחלק משוויון אזרחי ממשי.",core,1.0,yes,proposed_new,new_to_review,,נדרש לחיזוק D04-R03; לא היה היגד ישיר בקובץ הישן
D-037,deot,D05,"ביטחון, פלסטינים ועתיד השטחים","תמיכה בנתיב מדיני ארוך טווח מול הפלסטינים, גם לאחר שבעה באוקטובר",core,1.0,yes,existing,ok,"ביטחון, פלסטינים והסדר מדיני",
D-038,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",העדפה להיפרדות מדינית וביטחונית מהפלסטינים כדי לשמור על ישראל יהודית ודמוקרטית,core,1.0,yes,existing,ok,"ביטחון, פלסטינים והסדר מדיני",
D-039,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",תמיכה בפתרון שתי מדינות או במודל קרוב לו כיעד אסטרטגי,core,1.0,yes,existing,ok,"ביטחון, פלסטינים והסדר מדיני",
D-040,deot,D05,"ביטחון, פלסטינים ועתיד השטחים","פתיחות למודלים מדיניים מורכבים כגון קונפדרציה, גבולות פתוחים או הסדר אזורי",supporting,0.75,no,existing,ok,"ביטחון, פלסטינים והסדר מדיני",
D-041,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",התנגדות להמשך שליטה ישראלית קבועה על אוכלוסייה פלסטינית ללא זכויות אזרח מלאות,core,1.0,yes,existing,ok,"ביטחון, פלסטינים והסדר מדיני",
D-042,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",ראיית הסדר אזורי עם מדינות ערביות מתונות כחלק מרכזי מהעתיד הביטחוני של ישראל,supporting,0.75,no,existing,ok,"ביטחון, פלסטינים והסדר מדיני",
D-048,deot,D05,"ביטחון, פלסטינים ועתיד השטחים","ראיית הטראומה של שבעה באוקטובר כבסיס לבניית מדיניות חדשה, לא רק כהצדקה להמשך מלחמה",core,1.0,yes,existing,ok,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",
D-080,deot,D05,"ביטחון, פלסטינים ועתיד השטחים","המועמד מציג עמדה ברורה על עתיד עזה, שלטון אזרחי, ביטחון ואחריות ישראלית לאחר המלחמה.",core,1.0,yes,proposed_new,new_to_review,,נדרש לחיזוק D05-R05; לא היה היגד ישיר בקובץ הישן
D-047,deot,D06,"חברה, רווחה ופריפריה",תמיכה בשיקום העוטף והקהילות שנפגעו כחלק מהחוזה הבסיסי בין המדינה לאזרחיה,supporting,0.75,no,existing,ok,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",
D-049,deot,D06,"חברה, רווחה ופריפריה",הצבת צמצום אי־שוויון חברתי־כלכלי כנושא מרכזי בזהות הפוליטית,core,1.0,yes,existing,ok,"חברה, כלכלה, רווחה ופריפריה",
D-050,deot,D06,"חברה, רווחה ופריפריה","תמיכה בהרחבת אחריות המדינה בתחומי דיור, חינוך, בריאות ורווחה",core,1.0,yes,existing,review,"חברה, כלכלה, רווחה ופריפריה",דורש בדיקה/דיוק ניסוח | כולל חינוך בנוסח הישן; לאחר D08 עדיף לפצל או להשאיר כאן רק דיור/בריאות/רווחה/שירותים ציבוריים
D-051,deot,D06,"חברה, רווחה ופריפריה","תמיכה בזכויות עובדים, עבודה מאורגנת והגנה על שכבות מוחלשות",core,1.0,yes,existing,ok,"חברה, כלכלה, רווחה ופריפריה",
D-052,deot,D06,"חברה, רווחה ופריפריה",ראיית הפריפריה הגיאוגרפית והחברתית כשותפה אסטרטגית ולא כקהל יעד משני,core,1.0,yes,existing,ok,"חברה, כלכלה, רווחה ופריפריה",
D-053,deot,D06,"חברה, רווחה ופריפריה","תמיכה בהשקעה ארוכת טווח בנגב, בגליל, בעוטף ובערים מוחלשות",core,1.0,yes,existing,ok,"חברה, כלכלה, רווחה ופריפריה",
D-054,deot,D06,"חברה, רווחה ופריפריה",חיבור בין צדק חברתי לבין בניית מחנה פוליטי חדש ורחב יותר,core,1.0,yes,existing,ok,"חברה, כלכלה, רווחה ופריפריה",
D-081,deot,D06,"חברה, רווחה ופריפריה","המועמד מתייחס ליוקר המחיה, משבר הדיור והשחיקה של מעמד הביניים כחלק מרכזי מסדר היום החברתי־כלכלי.",core,1.0,yes,proposed_new,new_to_review,,נדרש לחיזוק D06-R02; לא היה היגד ישיר בקובץ הישן
D-061,deot,D07,בין פטריוטיות לאוניברסליות,המועמד מסוגל לשלב מחויבות עמוקה לישראל ולביטחונה עם מחויבות לזכויות אדם ולמוסר אוניברסלי.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D07-R01
D-062,deot,D07,בין פטריוטיות לאוניברסליות,המועמד אינו רואה כל ביקורת מוסרית על ישראל כבגידה או כאנטי־ישראליות.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D07-R02
D-063,deot,D07,בין פטריוטיות לאוניברסליות,"המועמד מכיר בסבל של אזרחים שאינם ישראלים גם בזמן מלחמה, בלי לוותר על ביטחון ישראל.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D07-R03
D-064,deot,D07,בין פטריוטיות לאוניברסליות,המועמד רואה בפטריוטיות גם דרישה מוסרית מהמדינה ולא רק נאמנות למחנה או לסמל.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D07-R04
D-065,deot,D07,בין פטריוטיות לאוניברסליות,"המועמד מחויב לדיני מלחמה, משפט בינלאומי וגבולות מוסריים גם כאשר הוא תומך בניצחון צבאי.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D07-R05
D-066,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",המועמד תומך בחיזוק החינוך הציבורי כמשימה מרכזית של המדינה.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D08-R01
D-067,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",המועמד מחויב לצמצום פערים בחינוך בין מרכז לפריפריה ובין קבוצות חברתיות.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D08-R02
D-068,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי","המועמד תומך בחינוך דמוקרטי, אזרחות פעילה, חשיבה ביקורתית ואוריינות לעולם החדש.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D08-R03
D-069,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי","המועמד מתנגד להתערבות פוליטית בתכני תרבות, יצירה או חינוך.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D08-R04
D-070,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי","המועמד רואה בתרבות, ספורט, נוער וחינוך בלתי פורמלי חלק מחוסן אזרחי ולא תחומים שוליים.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D08-R05
D-071,deot,D09,"סביבה, אקלים ומרחב חיים",המועמד מתייחס למשבר האקלים כאתגר מדיניות ממשי ולא כנושא שולי או קישוטי.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D09-R01
D-072,deot,D09,"סביבה, אקלים ומרחב חיים",המועמד תומך בתחבורה ציבורית חזקה ובתכנון שמפחית תלות ברכב פרטי.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D09-R02
D-073,deot,D09,"סביבה, אקלים ומרחב חיים","המועמד מזהה את הקשר בין זיהום סביבתי, בריאות הציבור ופערים חברתיים.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D09-R03
D-074,deot,D09,"סביבה, אקלים ומרחב חיים",המועמד תומך בשמירה על שטחים פתוחים ובתכנון שמגן על איכות החיים ומרחב החיים.,core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D09-R04
D-075,deot,D09,"סביבה, אקלים ומרחב חיים","המועמד רואה בסביבה, אקלים, תכנון ואיכות חיים חלק ממדיניות חברתית ולא רק עניין ירוק.",core,1.0,yes,proposed_new,new_to_review,,נבנה מתוך תנאי הסף D09-R05
