id,ציר,קטגוריה,מספר_בקטגוריה,היגד,נושא_בחירה
D-027,דעות,"הפרדה, גישור או שתי מדינות לעם היהודי",3,תמיכה בביזור סמכויות לשלטון מקומי כדי לאפשר לקהילות שונות לחיות לפי אורחות חיים שונים,תיקון השסעים בחברה היהודית
D-028,דעות,"הפרדה, גישור או שתי מדינות לעם היהודי",4,התנגדות לרעיון של שתי מדינות לעם היהודי והעדפה למאבק על מסגרת מדינתית אחת משותפת,תיקון השסעים בחברה היהודית
D-029,דעות,"הפרדה, גישור או שתי מדינות לעם היהודי",5,"פתיחות לרעיון של הסדרים פנימיים חדשים בין חילונים, דתיים, חרדים, מסורתיים וליברלים",תיקון השסעים בחברה היהודית
D-030,דעות,"הפרדה, גישור או שתי מדינות לעם היהודי",6,ראיית המשבר הישראלי לא רק כמאבק ימין־שמאל אלא כמאבק בין מודלים שונים של חיים משותפים,תיקון השסעים בחברה היהודית
D-031,דעות,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",1,ראיית אזרחי ישראל הערבים כחלק מלא מהדיון על עתיד המדינה ולא כעניין נפרד או משני,שוויון אזרחי וחיים משותפים יהודים־ערבים
D-032,דעות,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",2,"תמיכה בשוויון אזרחי גם כאשר הוא מחייב שינוי בחוקים, סמלים או חלוקת משאבים",שוויון אזרחי וחיים משותפים יהודים־ערבים
D-033,דעות,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",3,תמיכה בשותפות פוליטית יהודית־ערבית כחלק מבניית מחנה דמוקרטי רחב,שוויון אזרחי וחיים משותפים יהודים־ערבים
D-034,דעות,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",4,"העדפה לשילוב אזרחים ערבים במוקדי קבלת החלטות, כולל בתחומים מדיניים וביטחוניים",שוויון אזרחי וחיים משותפים יהודים־ערבים
D-035,דעות,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",5,"התנגדות לגזענות, הדרה או דה־לגיטימציה של הציבור הערבי בישראל",שוויון אזרחי וחיים משותפים יהודים־ערבים
D-036,דעות,"יהודים־ערבים, שוויון אזרחי וחיים משותפים",6,"הכרה בכך שחיים משותפים מחייבים גם התמודדות עם פחדים, טראומות וחוסר אמון בשני הצדדים",שוויון אזרחי וחיים משותפים יהודים־ערבים
D-037,דעות,"ביטחון, פלסטינים והסדר מדיני",1,"תמיכה בנתיב מדיני ארוך טווח מול הפלסטינים, גם לאחר שבעה באוקטובר",פתרונות מדיניים וביטחון ארוך טווח
D-038,דעות,"ביטחון, פלסטינים והסדר מדיני",2,העדפה להיפרדות מדינית וביטחונית מהפלסטינים כדי לשמור על ישראל יהודית ודמוקרטית,פתרונות מדיניים וביטחון ארוך טווח
D-039,דעות,"ביטחון, פלסטינים והסדר מדיני",3,תמיכה בפתרון שתי מדינות או במודל קרוב לו כיעד אסטרטגי,פתרונות מדיניים וביטחון ארוך טווח
D-040,דעות,"ביטחון, פלסטינים והסדר מדיני",4,"פתיחות למודלים מדיניים מורכבים כגון קונפדרציה, גבולות פתוחים או הסדר אזורי",פתרונות מדיניים וביטחון ארוך טווח
D-041,דעות,"ביטחון, פלסטינים והסדר מדיני",5,התנגדות להמשך שליטה ישראלית קבועה על אוכלוסייה פלסטינית ללא זכויות אזר מלאות,פתרונות מדיניים וביטחון ארוך טווח
D-042,דעות,"ביטחון, פלסטינים והסדר מדיני",6,ראיית הסדר אזורי עם מדינות ערביות מתונות כחלק מרכזי מהעתיד הביטחוני של ישראל,פתרונות מדיניים וביטחון ארוך טווח
D-043,דעות,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",1,"ראיית שבעה באוקטובר כאירוע שמחייב חשבון נפש מדינתי, מוסדי וחברתי עמוק","אחריות, ועדת חקירה ושיקום אחרי 7.10"
D-044,דעות,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",2,תמיכה בוועדת חקירה ממלכתית ובאחריות אישית של הדרג המדיני והביטחוני,"אחריות, ועדת חקירה ושיקום אחרי 7.10"
D-045,דעות,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",3,ראיית החטופים והמשפחות כסמל מוסרי מרכזי של אחריות המדינה לאזרחיה,"אחריות, ועדת חקירה ושיקום אחרי 7.10"
D-046,דעות,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",4,"התנגדות לשימוש פוליטי ציני בכאב של משפחות, נפגעים או קהילות שנפגעו במלחמה","אחריות, ועדת חקירה ושיקום אחרי 7.10"
D-047,דעות,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",5,תמיכה בשיקום העוטף והקהילות שנפגעו כחלק מהחוזה הבסיסי בין המדינה לאזרחיה,"אחריות, ועדת חקירה ושיקום אחרי 7.10"
D-048,דעות,"שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי",6,"ראיית הטראומה של שבעה באוקטובר כבסיס לבניית מדיניות חדשה, לא רק כהצדקה להמשך מלחמה","אחריות, ועדת חקירה ושיקום אחרי 7.10"
D-049,דעות,"חברה, כלכלה, רווחה ופריפריה",1,הצבת צמצום אי־שוויון חברתי־כלכלי כנושא מרכזי בזהות הפוליטית,"חברה, כלכלה, רווחה ושירותים ציבוריים"
D-050,דעות,"חברה, כלכלה, רווחה ופריפריה",2,"תמיכה בהרחבת אחריות המדינה בתחומי דיור, חינוך, בריאות ורווחה","חברה, כלכלה, רווחה ושירותים ציבוריים"
D-051,דעות,"חברה, כלכלה, רווחה ופריפריה",3,"תמיכה בזכויות עובדים, עבודה מאורגנת והגנה על שכבות מוחלשות","חברה, כלכלה, רווחה ושירותים ציבוריים"
D-052,דעות,"חברה, כלכלה, רווחה ופריפריה",4,ראיית הפריפריה הגיאוגרפית והחברתית כשותפה אסטרטגית ולא כקהל יעד משני,"חברה, כלכלה, רווחה ושירותים ציבוריים"
D-053,דעות,"חברה, כלכלה, רווחה ופריפריה",5,"תמיכה בהשקעה ארוכת טווח בנגב, בגליל, בעוטף ובערים מוחלשות","חברה, כלכלה, רווחה ושירותים ציבוריים"
D-054,דעות,"חברה, כלכלה, רווחה ופריפריה",6,חיבור בין צדק חברתי לבין בניית מחנה פוליטי חדש ורחב יותר,"חברה, כלכלה, רווחה ושירותים ציבוריים"
D-055,דעות,"סגנון פשרה, גבולות ויכולת הסכמה",1,נכונות לפשרות פוליטיות רחבות כדי לשקם את המדינה גם במחיר ויתור אידיאולוגי חלקי,גישור עם המחנה השני ובריתות רחבות
D-056,דעות,"סגנון פשרה, גבולות ויכולת הסכמה",2,הצבת קווים אדומים ברורים שמעליהם אין מקום לפשרה עם יריבים פוליטיים,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-057,דעות,"סגנון פשרה, גבולות ויכולת הסכמה",3,העדפה להסכמות רחבות ולאיטיות על פני מהלכים חדים ומהירים,גישור עם המחנה השני ובריתות רחבות
D-058,דעות,"סגנון פשרה, גבולות ויכולת הסכמה",4,העדפה למאבק חד וברור כאשר פשרה נתפסת ככניעה לכוחות אנטי־דמוקרטיים,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-059,דעות,"סגנון פשרה, גבולות ויכולת הסכמה",5,יכולת להבחין בין פשרה עניינית לבין טשטוש ערכי מסוכן,"הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים"
D-060,דעות,"סגנון פשרה, גבולות ויכולת הסכמה",6,"נכונות לבנות קואליציות עתידיות עם גורמים שאינם שייכים למחנה הטבעי, אם הם מקבלים כללי משחק דמוקרטיים",גישור עם המחנה השני ובריתות רחבות
