candidate_id,axis,topic,topic_score,topic_coverage,known_weight_ratio,missing_weight_ratio,negative_weight_ratio,core_missing_count,core_negative_count,general_info_quality,threshold_base_status,summary_reason
מיכל רוזין,yecholot,"מומחיות מדינית, ביטחונית וממשלית",64.2,88.9,0.889,0.111,0.0,0,0,high,pass,2 היגדים חיוביים
משה רדמן,yecholot,"מומחיות מדינית, ביטחונית וממשלית",90.1,100.0,1.0,0.0,0.0,0,0,high,pass,5 היגדים חיוביים
נאווה_רוזוליו,yecholot,"מומחיות מדינית, ביטחונית וממשלית",38.9,86.4,0.864,0.136,0.198,0,1,high,pass,1 היגדי ליבה שליליים; 1 היגדים חיוביים
נדאל מסאלחה,yecholot,"מומחיות מדינית, ביטחונית וממשלית",40.7,88.9,0.889,0.111,0.0,0,0,high,pass,אין מידע מספיק
נמרוד שפר,yecholot,"מומחיות מדינית, ביטחונית וממשלית",100.0,100.0,1.0,0.0,0.0,0,0,high,pass,6 היגדים חיוביים
נעמה לזימי,yecholot,"מומחיות מדינית, ביטחונית וממשלית",33.6,75.3,0.753,0.247,0.0,0,0,high,pass,1 היגדים חיוביים
סומיה בשיר,yecholot,"מומחיות מדינית, ביטחונית וממשלית",27.2,54.3,0.543,0.457,0.0,1,0,medium,pass,1 היגדי ליבה חסרים
עאיד בדיר,yecholot,"מומחיות מדינית, ביטחונית וממשלית",27.2,54.3,0.543,0.457,0.0,1,0,medium,pass,1 היגדי ליבה חסרים
עלי סלאלחה,yecholot,"מומחיות מדינית, ביטחונית וממשלית",57.1,100.0,1.0,0.0,0.0,0,0,high,pass,1 היגדים חיוביים
ענבל וורטמן שהם,yecholot,"מומחיות מדינית, ביטחונית וממשלית",16.7,33.3,0.333,0.667,0.0,2,0,low,insufficient_data,2 היגדי ליבה חסרים
ענבר בזק,yecholot,"מומחיות מדינית, ביטחונית וממשלית",20.4,75.3,0.753,0.247,0.346,0,1,high,fail,כישלון בהיגד מפתח; 1 היגדי ליבה שליליים
ערן עציון,yecholot,"מומחיות מדינית, ביטחונית וממשלית",100.0,100.0,1.0,0.0,0.0,0,0,high,pass,6 היגדים חיוביים
קטי פיאסצקי,yecholot,"מומחיות מדינית, ביטחונית וממשלית",16.7,33.3,0.333,0.667,0.0,2,0,low,insufficient_data,2 היגדי ליבה חסרים
רונן צור,yecholot,"מומחיות מדינית, ביטחונית וממשלית",44.4,88.9,0.889,0.111,0.0,0,0,high,pass,אין מידע מספיק
רם שפע,yecholot,"מומחיות מדינית, ביטחונית וממשלית",59.9,100.0,1.0,0.0,0.0,0,0,high,pass,1 היגדים חיוביים
תומר אביטל,yecholot,"מומחיות מדינית, ביטחונית וממשלית",9.9,19.8,0.198,0.802,0.0,2,0,low,insufficient_data,2 היגדי ליבה חסרים
