redline_id,statement_id,relation_role,polarity,weight,notes
D02-R04,D-054,supporting,positive,0.5,
D02-R05,D-006,supporting,positive,0.8,
D02-R05,D-030,primary,positive,0.8,
D02-R05,D-004,supporting,positive,0.7,
D02-R05,D-001,supporting,positive,0.6,
D02-R05,D-027,supporting,positive,0.5,
D02-R05,D-029,supporting,positive,0.4,
D02-R05,D-026,contextual,positive,0.3,"אפשרי כהסדר פנימי, אבל דורש בדיקה שלא מדובר בפירוק מוסדות"
D03-R01,D-024,primary,positive,1.0,
D03-R01,D-021,supporting,positive,0.6,
D03-R01,D-023,supporting,positive,0.6,
D03-R02,D-076,primary,positive,1.0,
D03-R02,D-024,supporting,positive,0.7,
D03-R02,D-021,supporting,positive,0.5,
D03-R02,D-023,supporting,positive,0.4,
D03-R03,D-077,primary,positive,1.0,
D03-R03,D-011,supporting,positive,0.5,
D03-R03,D-022,supporting,positive,0.4,
D03-R03,D-025,supporting,positive,0.4,
D03-R04,D-023,primary,positive,1.0,
D03-R04,D-021,supporting,positive,0.8,
D03-R04,D-019,supporting,positive,0.5,
D03-R04,D-020,supporting,positive,0.5,
D03-R05,D-078,primary,positive,1.0,
D03-R05,D-011,supporting,positive,0.6,
D03-R05,D-022,supporting,positive,0.6,
D03-R05,D-016,supporting,positive,0.5,
D03-R05,D-025,supporting,positive,0.5,
D04-R01,D-032,primary,positive,1.0,
D04-R01,D-031,supporting,positive,0.8,
D04-R01,D-035,supporting,positive,0.5,
D04-R02,D-033,primary,positive,1.0,
D04-R02,D-034,supporting,positive,0.8,
D04-R02,D-031,supporting,positive,0.6,
D04-R03,D-079,primary,positive,1.0,
D04-R03,D-032,supporting,positive,0.7,
D04-R03,D-034,supporting,positive,0.5,
D04-R04,D-031,primary,positive,1.0,
D04-R04,D-033,supporting,positive,0.8,
D04-R04,D-034,supporting,positive,0.7,
D04-R04,D-035,supporting,positive,0.4,
D04-R05,D-036,primary,positive,1.0,
D04-R05,D-033,supporting,positive,0.6,
D04-R05,D-031,supporting,positive,0.5,
D05-R01,D-037,primary,positive,1.0,
D05-R01,D-039,supporting,positive,0.9,
D05-R01,D-040,supporting,positive,0.6,
D05-R01,D-042,supporting,positive,0.6,
D05-R01,D-048,supporting,positive,0.6,
D05-R02,D-041,primary,positive,1.0,
D05-R02,D-038,supporting,positive,0.9,
D05-R02,D-039,supporting,positive,0.7,
D05-R03,D-041,primary,positive,1.0,
D05-R03,D-048,supporting,positive,0.7,
D05-R03,D-037,supporting,positive,0.6,
D05-R03,D-038,supporting,positive,0.5,
D05-R04,D-039,primary,positive,1.0,
D05-R04,D-037,supporting,positive,0.8,
D05-R04,D-038,supporting,positive,0.8,
D05-R04,D-040,supporting,positive,0.5,
D05-R05,D-080,primary,positive,1.0,
D05-R05,D-048,supporting,positive,0.7,
D05-R05,D-037,supporting,positive,0.5,
D05-R05,D-042,supporting,positive,0.4,
D06-R01,D-049,primary,positive,1.0,
D06-R01,D-054,supporting,positive,0.8,
D06-R01,D-050,supporting,positive,0.6,
D06-R01,D-051,supporting,positive,0.5,
D06-R02,D-081,primary,positive,1.0,
D06-R02,D-049,supporting,positive,0.6,
D06-R02,D-050,supporting,positive,0.4,
D06-R03,D-050,primary,positive,0.9,
D06-R03,D-047,supporting,positive,0.7,
D06-R03,D-051,supporting,positive,0.6,
D06-R04,D-052,primary,positive,1.0,
D06-R04,D-053,supporting,positive,0.9,
D06-R04,D-054,supporting,positive,0.7,
D06-R04,D-018,supporting,positive,0.5,
D06-R05,D-054,primary,positive,1.0,
D06-R05,D-049,primary,positive,0.9,
D06-R05,D-050,supporting,positive,0.7,
D06-R05,D-051,supporting,positive,0.5,
D07-R01,D-061,primary,positive,1.0,
D07-R01,D-048,supporting,positive,0.5,הטראומה כמקור למדיניות חדשה ולא רק המשך מלחמה
D07-R02,D-062,primary,positive,1.0,
D07-R02,D-046,supporting,positive,0.4,אתיקה ציבורית סביב כאב וטראומה
D07-R03,D-063,primary,positive,1.0,
D07-R03,D-041,supporting,positive,0.4,רגישות מוסרית לשליטה באוכלוסייה ללא זכויות
D07-R04,D-064,primary,positive,1.0,
D07-R05,D-065,primary,positive,1.0,
D07-R05,D-041,supporting,positive,0.5,
D08-R01,D-066,primary,positive,1.0,
D08-R02,D-067,primary,positive,1.0,
D08-R03,D-068,primary,positive,1.0,
D08-R03,D-005,supporting,positive,0.4,דמוקרטיה פנימית ושיתוף ציבור כזיקה אזרחית
D08-R04,D-069,primary,positive,1.0,
D08-R05,D-070,primary,positive,1.0,
D09-R01,D-071,primary,positive,1.0,
D09-R02,D-072,primary,positive,1.0,
D09-R03,D-073,primary,positive,1.0,
D09-R04,D-074,primary,positive,1.0,
D09-R05,D-075,primary,positive,1.0,
D09-R05,D-049,contextual,positive,0.3,"קשר בין צדק חברתי למדיניות סביבתית, אם יופיע מידע תומך"
