מועמד,קטגוריה,סגנון,סגנון_ביטחון,תפקיד_מאבק,תפקיד_חקיקה,תפקיד_חיבור,מספר_נושא,נושא,עמדות_ציון,עמדות_ביטחון,ביצוע_ציון,ביצוע_ביטחון,תדמית_ציון,תדמית_ביטחון,עוגן
אמילי מואטי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אמילי מואטי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אמילי מואטי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אמילי מואטי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אמילי מואטי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אמילי מואטי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אמילי מואטי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
קטי פיאסצקי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
קטי פיאסצקי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
קטי פיאסצקי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
קטי פיאסצקי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
קטי פיאסצקי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
קטי פיאסצקי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
קטי פיאסצקי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
קטי פיאסצקי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
קטי פיאסצקי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
קטי פיאסצקי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
קטי פיאסצקי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
קטי פיאסצקי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מיכל רוזין,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
מיכל רוזין,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מיכל רוזין,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
מיכל רוזין,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מיכל רוזין,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מיכל רוזין,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מיכל רוזין,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מיכל רוזין,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מיכל רוזין,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
מיכל רוזין,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מיכל רוזין,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מיכל רוזין,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מורן זר כצשטיין,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
מורן זר כצשטיין,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מורן זר כצשטיין,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
מורן זר כצשטיין,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מורן זר כצשטיין,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מורן זר כצשטיין,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מורן זר כצשטיין,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מורן זר כצשטיין,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מורן זר כצשטיין,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
מורן זר כצשטיין,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מורן זר כצשטיין,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מורן זר כצשטיין,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מהרטה ברוך רון,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
מהרטה ברוך רון,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מהרטה ברוך רון,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
מהרטה ברוך רון,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מהרטה ברוך רון,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מהרטה ברוך רון,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מהרטה ברוך רון,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מהרטה ברוך רון,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מהרטה ברוך רון,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
מהרטה ברוך רון,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מהרטה ברוך רון,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מהרטה ברוך רון,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
הדס רגולסקי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
הדס רגולסקי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
הדס רגולסקי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
הדס רגולסקי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
הדס רגולסקי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
הדס רגולסקי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
הדס רגולסקי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
הדס רגולסקי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
הדס רגולסקי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
הדס רגולסקי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
הדס רגולסקי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
הדס רגולסקי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
גבי לסקי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
גבי לסקי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
גבי לסקי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
גבי לסקי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
גבי לסקי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
גבי לסקי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
גבי לסקי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
גבי לסקי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
גבי לסקי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
גבי לסקי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
גבי לסקי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
גבי לסקי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
יעל כהן-פארן,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
יעל כהן-פארן,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
יעל כהן-פארן,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
יעל כהן-פארן,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
יעל כהן-פארן,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
יעל כהן-פארן,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
יעל כהן-פארן,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
יעל כהן-פארן,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
יעל כהן-פארן,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
יעל כהן-פארן,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
יעל כהן-פארן,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
יעל כהן-פארן,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מורן מישל,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
מורן מישל,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מורן מישל,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
מורן מישל,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מורן מישל,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מורן מישל,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מורן מישל,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מורן מישל,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מורן מישל,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
מורן מישל,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מורן מישל,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מורן מישל,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",8,75,7,65,7,65,הגנה על תקשורת עצמאית ומערכת משפט
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,2,איחוי החברה וסולידריות אזרחית,7,65,7,70,6,60,ערבות הדדית ושיקום הצפון
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,3,שוויון זכויות והזדמנויות,8,80,8,80,8,75,"נשים, עצמאיות, שכר שוויוני, לקויות למידה"
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,4,"שוויון בנטל, גיוס ושירות אזרחי",,20,6,60,,20,דמי מילואים לעצמאים
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,5,שותפות יהודית־ערבית ושוויון אזרחי,6,55,6,60,5,45,חיים משותפים ופיתוח אזורי
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,6,"ביטחון, פלסטינים והחזון המדיני",5,45,7,70,6,55,שיקום הצפון ומיגון
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,7,"חינוך, אזרחות וליבה משותפת",8,80,8,80,7,70,שדולת לקויות למידה
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,8,"חברה, כלכלה, רווחה ופריפריה",9,85,9,85,8,80,"עצמאים ועסקים קטנים, גליל וצפון"
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,9,יחסי דת ומדינה וחופש אזרחי,,20,,20,,20,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,10,תקשורת אמת ואוריינות דיגיטלית,8,75,6,55,6,55,תקשורת עצמאית והון-שלטון
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,20,,25,,20,
ענבר בזק,נשים,ממלכתי ואחראי,בינוני,4,8,6,12,"סביבה, אקלים ומרחב חיים",5,40,5,40,,20,מגוון ביולוגי וחקלאות
ענבל וורטמן שוהם,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
ענבל וורטמן שוהם,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
ענבל וורטמן שוהם,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
ענבל וורטמן שוהם,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
ענבל וורטמן שוהם,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
ענבל וורטמן שוהם,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
ענבל וורטמן שוהם,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
ענבל וורטמן שוהם,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
ענבל וורטמן שוהם,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
ענבל וורטמן שוהם,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
ענבל וורטמן שוהם,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
ענבל וורטמן שוהם,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
לי הופמן אגיב,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
לי הופמן אגיב,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
לי הופמן אגיב,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
לי הופמן אגיב,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
לי הופמן אגיב,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
לי הופמן אגיב,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
לי הופמן אגיב,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
לי הופמן אגיב,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
לי הופמן אגיב,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
לי הופמן אגיב,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
לי הופמן אגיב,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
לי הופמן אגיב,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
רותם סיון הופמן,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
רותם סיון הופמן,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
רותם סיון הופמן,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
רותם סיון הופמן,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
רותם סיון הופמן,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
רותם סיון הופמן,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
רותם סיון הופמן,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
רותם סיון הופמן,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
רותם סיון הופמן,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
רותם סיון הופמן,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
רותם סיון הופמן,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
רותם סיון הופמן,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
חן אריאלי,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
חן אריאלי,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
חן אריאלי,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
חן אריאלי,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
חן אריאלי,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
חן אריאלי,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
חן אריאלי,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
חן אריאלי,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
חן אריאלי,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
חן אריאלי,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
חן אריאלי,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
חן אריאלי,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
יאיא פינק,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
יאיא פינק,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
יאיא פינק,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
יאיא פינק,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
יאיא פינק,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
יאיא פינק,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
יאיא פינק,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
יאיא פינק,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
יאיא פינק,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
יאיא פינק,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
יאיא פינק,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
יאיא פינק,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
יריב אופנהימר,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
יריב אופנהימר,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
יריב אופנהימר,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
יריב אופנהימר,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
יריב אופנהימר,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
יריב אופנהימר,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
יריב אופנהימר,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
יריב אופנהימר,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
יריב אופנהימר,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
יריב אופנהימר,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
יריב אופנהימר,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
יריב אופנהימר,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
אבי דבוש,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
אבי דבוש,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
אבי דבוש,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
אבי דבוש,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
אבי דבוש,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
אבי דבוש,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
אבי דבוש,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
אבי דבוש,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
אבי דבוש,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
אבי דבוש,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
אבי דבוש,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
אבי דבוש,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
מוסי רז,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
מוסי רז,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
מוסי רז,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
מוסי רז,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
מוסי רז,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
מוסי רז,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
מוסי רז,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
מוסי רז,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
מוסי רז,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
מוסי רז,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
מוסי רז,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
מוסי רז,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
גלעד קריב,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
גלעד קריב,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
גלעד קריב,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
גלעד קריב,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
גלעד קריב,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
גלעד קריב,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
גלעד קריב,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
גלעד קריב,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
גלעד קריב,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
גלעד קריב,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
גלעד קריב,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
גלעד קריב,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
נאור נרקיס,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
נאור נרקיס,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
נאור נרקיס,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
נאור נרקיס,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
נאור נרקיס,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
נאור נרקיס,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
נאור נרקיס,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
נאור נרקיס,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
נאור נרקיס,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
נאור נרקיס,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
נאור נרקיס,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
נאור נרקיס,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
רם שפע,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
רם שפע,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
רם שפע,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
רם שפע,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
רם שפע,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
רם שפע,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
רם שפע,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
רם שפע,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
רם שפע,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
רם שפע,,,,,,,10,תקשורת אמת ואוריינות דיגיטלית,,,,,,,
רם שפע,,,,,,,11,"תרבות, מדע ופרויקטים לאומיים מאחדים",,,,,,,
רם שפע,,,,,,,12,"סביבה, אקלים ומרחב חיים",,,,,,,
נמרוד שפר,,,,,,,1,"דמוקרטיה, שלטון החוק ואחריות ציבורית",,,,,,,
נמרוד שפר,,,,,,,2,איחוי החברה וסולידריות אזרחית,,,,,,,
נמרוד שפר,,,,,,,3,שוויון זכויות והזדמנויות,,,,,,,
נמרוד שפר,,,,,,,4,"שוויון בנטל, גיוס ושירות אזרחי",,,,,,,
נמרוד שפר,,,,,,,5,שותפות יהודית־ערבית ושוויון אזרחי,,,,,,,
נמרוד שפר,,,,,,,6,"ביטחון, פלסטינים והחזון המדיני",,,,,,,
נמרוד שפר,,,,,,,7,"חינוך, אזרחות וליבה משותפת",,,,,,,
נמרוד שפר,,,,,,,8,"חברה, כלכלה, רווחה ופריפריה",,,,,,,
נמרוד שפר,,,,,,,9,יחסי דת ומדינה וחופש אזרחי,,,,,,,
