id1,id2,id3,id4,id5,id6,sud01,sud01e,sud02,sud02e,sud03,sud03e,sud04,sud04e,sud05,sud05e,sud06,sud06e,sud07,sud07e,sud08,sud08e,sud09,sud09e,sud10,sud10e,sud11,sud11e,sud12,sud12e,suc01,suc01e,suc02,suc02e,suc03,suc03e,suc04,suc04e,suc05,suc05e,suc06,suc06e,suc07,suc07e,suc08,suc08e,suc09,suc09e,suc10,suc10e,suc11,suc11e,suc12,suc12e,sut01,sut01e,sut02,sut02e,sut03,sut03e,sut04,sut04e,sut05,sut05e,sut06,sut06e,sut07,sut07e,sut08,sut08e,sut09,sut09e,sut10,sut10e,sut11,sut11e,sut12,sut12e,zps,zpc,zr1,zr2,zr3,zcca,zccb,zccc,zccd,zcce,zcrg0,zcrg1,zcrg2,zcrg3,zcrg4,zcrg5,zcrg6,zcrg7,zcrg8,zcrg9
גבי לסקי,,,,,,9,95,,,9,90,,,10,95,10,95,,,,,8,70,,,,,9,85,9,95,,,8,85,,,10,95,9,95,,,,,7,70,,,,,8,85,9,95,,,8,85,,,10,95,10,95,,,,,6,60,,,,,6,50,לוחם וברור,בינוני,7,7,5,9.2,,,,,,,,,,,,,,
גלעד קריב,,,,,,9,90,,,9,90,8,80,8,60,7,60,8,80,7,50,10,95,,,,,,,9,90,,,8,85,6,60,,,,,7,70,,,10,95,,,,,,,9,90,,,9,90,7,70,7,60,7,60,7,70,6,50,10,95,,,,,,,שילוב,בינוני,6,9,5,8.2,,,,,,,,,,,,,,
דני אלגרט,,,,,,8,60,8,80,,,,,,,9,90,,,,,,,9,80,,,,,,,8,80,,,,,,,8,80,,,,,,,8,80,,,,,8,80,9,90,,,,,,,9,90,,,,,,,8,80,,,,,לוחם וברור,גבוה,9,1,3,8.5,,,,,,,,,,,,,,
הדס רגולסקי,,,,,,9,90,,,10,95,9,80,,,,,,,8,70,10,95,8,70,,,,,9,90,,,9,90,7,70,,,,,,,7,60,9,90,8,80,,,,,9,90,,,10,95,8,80,,,,,,,7,60,9,90,8,70,,,,,לוחם וברור,נמוך,8,3,5,9.0,,,,,,,,,,,,,,
חן אריאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יאיא פינק,,,,,,9,90,7,60,8,80,9,85,9,95,7,50,7,50,9,90,9,85,9,90,,,,,8,85,,,,,,,9,95,,,,,9,90,8,80,9,90,,,,,9,90,6,50,8,75,8,80,9,90,,,,,9,90,9,85,9,90,,,,,לוחם וברור,נמוך,8,3,5,8.3,,,,,,,,,,,,,,
יאיר רובינשטיין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יעל כהן-פארן,,,,,,8,70,,0,8,60,,0,,0,,0,8,70,8,80,7,50,,0,,0,10,95,,0,,0,7,60,,0,,0,,0,7,70,8,80,,0,,0,,0,10,95,7,60,,0,,20,,0,,0,,0,6,50,7,60,,0,,0,,0,10,95,ממלכתי ואחראי,בינוני,5,7,5,8.2,,,,,,,,,,,,,,
יריב אופנהימר,,,,,,9,80,,0,8,60,8,60,9,90,10,95,,0,7,50,8,60,,0,,0,,0,7,70,,0,,0,,0,8,80,9,90,,0,,0,,0,,0,,0,,0,9,80,3,80,8,60,7,60,9,90,10,95,,0,6,50,8,60,4,70,,0,,0,לוחם וברור,גבוה,8,3,6,8.4,,,,,,,,,,,,,,
לי הופמן אגיב,,,,,,9,90,,,10,95,,,,,,,,,,,9,90,,,,,,,9,90,,,9,90,,,,,,,,,,,9,90,,,,,,,9,90,,,10,95,,,,,,,,,,,9,90,,,,,,,לוחם וברור,נמוך,8,2,4,9.3,,,,,,,,,,,,,,
מאלק בדר,,,,,,,,,,9,90,9,85,9,90,,,,,8,85,,,,,,,9,90,,,,,8,85,8,80,8,85,,,,,8,85,,,,,,,8,85,,,,,9,90,9,85,9,90,,,,,8,85,,,,,,,9,90,מגשר ורגוע,נמוך-בינוני,6,4,7,8.8,,,,,,,,,,,,,,
מהרטה ברוך רון,,,,,,8,60,,,9,90,,,7,50,,,8,85,9,85,8,60,,,,,,,,,,,8,85,,,6,50,,,8,90,9,90,,,,,,,,,7,60,,,9,90,,,,,,,8,80,8,85,7,60,,,,,,,ממלכתי ואחראי,בינוני,4,7,7,8.2,,,,,,,,,,,,,,
מוסי רז,,,,,,9,80,7,60,9,80,,,10,95,10,100,,,8,75,9,85,,,,,10,95,8,80,6,60,8,80,,,10,100,10,100,,,8,80,8,80,,,,,10,100,9,90,4,70,9,85,,,10,95,10,100,,,8,70,9,85,,,,,9,90,שילוב,בינוני,7,8,7,9.0,,,,,,,,,,,,,,
מורן זר כצשטיין,,,,,,9,95,8,70,10,100,9,85,,10,,0,8,75,8,75,10,90,,10,,0,,0,9,95,9,85,10,100,8,80,,10,,0,7,70,8,80,9,90,,10,,0,,0,10,95,8,75,10,100,8,80,,10,,0,7,65,7,70,9,90,,10,,0,,0,לוחם וברור,גבוה,9,2,5,8.9,,,,,,,,,,,,,,
מורן מישל,,,,,,9,85,,,9,80,,,,,,,,,,,8,70,9,90,8,85,,,8,85,,,8,80,,,,,,,,,,,6,60,9,90,9,90,,,9,90,,,8,80,,,,,,,,,,,8,70,9,90,8,85,,,לוחם וברור,נמוך-בינוני,8,2,4,8.6,,,,,,,,,,,,,,
מיכל רוזין,,,,,,9,90,,,10,95,,,9,85,9,90,8,80,8,85,9,95,,,,,,,8,85,,,10,95,,,8,85,8,80,8,80,9,85,9,90,,,,,,,9,90,,,10,95,,,8,85,9,90,7,70,8,80,9,95,,,,,,,לוחם וברור,בינוני,5,9,5,8.9,,,,,,,,,,,,,,
משה רדמן,,,,,,10,100,,,,,10,90,,,,,,,8,85,9,80,10,95,,,,,10,100,,,,,9,90,,,,,,,9,90,8,80,9,90,,,,,10,100,,,,,9,90,,,,,,,9,90,8,80,9,90,,,,,לוחם וברור,בינוני,9,2,4,9.4,,,,,,,,,,,,,,
נאווה רוזוליו,,,,,,10,95,,,,,,,,,,,,,,,,,,,,,,,10,95,,,,,,,,,,,,,,,,,,,,,,,10,95,,,,,,,,,,,,,,,,,,,,,,,שילוב,—,9,2,3,10.0,,,,,,,,,,,,,,
נאור נרקיס,,,,,,8,80,,,8,80,9,90,,,,,9,80,7,70,10,90,7,80,,,,,7,80,,,8,80,8,80,,,,,7,70,,,9,90,8,80,,,,,8,80,,,8,80,9,90,,,,,8,80,7,70,10,90,6,80,,,,,לוחם וברור,גבוה,9,2,2,8.3,,,,,,,,,,,,,,
נדאל מסאלחה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נמרוד שפר,,,,,,9,90,8,80,,,8,75,,,8,85,,,,,,,,,,,,,8,85,,,,,7,80,,,10,95,,,9,90,,,,,9,90,,,9,90,7,70,,,8,75,,,9,95,,,8,80,,,,,7,70,,,ממלכתי ואחראי,גבוה,5,6,4,8.2,,,,,,,,,,,,,,
נעמה לזימי,,,,,,9,90,6,60,10,95,8,70,9,85,8,85,9,85,10,100,9,80,,,7,60,,,8,85,,,9,95,,,7,75,,,8,80,10,100,6,60,,,,,,,9,95,4,70,9,95,7,60,8,80,8,85,8,80,10,100,8,80,,,,20,,,לוחם וברור,גבוה,7,9,4,8.5,,,,,,,,,,,,,,
סומיה בשיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עאיד בדיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עלי סלאלחה,,,,,,8,80,9,85,10,95,9,85,9,90,,,10,100,9,90,,,,,,,,,8,80,9,90,9,90,,,8,85,,,10,100,8,85,,,,,,,,,8,80,9,85,10,95,8,80,9,90,,,10,100,9,90,,,,,,,,,ממלכתי ואחראי,בינוני,5,6,6,9.1,,,,,,,,,,,,,,
ענבל וורטמן שוהם,,,,,,9,90,,,8,60,,,,,,,,,,,,,8,60,,,,,9,90,,,7,60,,,,,,,,,,,,,7,60,9,85,,,9,90,,,8,60,,,,,,,,,,,,,8,60,9,85,,,לוחם וברור,בינוני,9,1,4,8.3,,,,,,,,,,,,,,
ענבר בזק,,,,,,9,85,,10,8,85,,10,7,70,,10,,10,9,95,,10,,10,,10,,10,7,70,,10,8,90,,10,6,60,,10,,10,10,95,,10,8,85,,10,,10,8,80,,10,8,85,,10,6,60,,10,,10,9,90,,10,7,70,,10,,10,ממלכתי ואחראי,בינוני,4,7,6,8.2,,,,,,,,,,,,,,
ערן עציון,,,,,,9,90,,,,,8,70,,,9,90,,,,,7,60,9,80,,,,,8,80,,,,,,,,,9,90,,,,,,,,,,,,,9,90,,,,,7,60,,,9,90,,,,,6,50,8,70,,,,,ממלכתי ואחראי,גבוה,5,7,4,8.4,,,,,,,,,,,,,,
קטי פיאסצקי,,,,,,9,80,,,9,85,,,8,70,8,80,8,70,,,10,95,,,,,9,80,7,70,,,8,80,,,6,60,,,7,70,,,9,90,,,,,8,80,8,80,,,8,85,,,7,60,8,80,8,70,,,10,95,,,,,8,80,לוחם וברור,נמוך,6,5,5,8.7,,,,,,,,,,,,,,
רונן צור,,,,,,9,85,,,,,8,75,,,,,,,,,7,60,,,,,,,8,85,,,,,,,,,9,95,,,,,,,,,,,,,8,90,2,85,,,7,70,,,9,90,,,,,7,70,2,90,,,,,לוחם וברור,גבוה,10,3,2,8.0,,,,,,,,,,,,,,
רותם סיון הופמן,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,85,,0,,0,8,85,,0,,0,,0,,0,,0,,0,,0,,0,8,85,,0,,0,8,85,,0,ממלכתי ואחראי,בינוני,2,3,5,,,,,,,,,,,,,,,
רם שפע,,,,,,8,85,,,8,60,,,,,6,50,9,95,8,85,8,70,,,8,80,,,9,90,,,,,,,,,,,9,95,8,85,,,,,8,85,,,8,85,,,,,,,,,,,9,95,8,80,7,70,,,7,75,,,ממלכתי ואחראי,נמוך-בינוני,4,8,5,7.9,,,,,,,,,,,,,,
תומר אביטל,,,,,,10,100,,,,,,,,,,,,,8,80,,,10,100,,,8,75,10,100,,,,,,,,,,,,,8,80,,,10,100,,,7,70,10,100,,,,,,,,,,,,,7,70,,,10,95,,,6,60,לוחם וברור,בינוני,9,3,3,9.0,,,,,,,,,,,,,,
